fps,dim,staleness,rmse_kf,rmse_held,n_samples
1,y,32,0.04880277947237952,0.5374774915136022,115
1,vy,32,0.21180393508297124,0.886828793535388,115
1,angle,32,0.2733605506509415,0.9351899514399004,115
1,angular_velocity,32,0.7156965783556553,1.3508143081056185,115
1,x,33,0.028939740319319316,0.13339746599669144,113
1,vx,33,0.12794931660150613,0.30223923327851165,113
1,y,33,0.0505475659179096,0.5519758476267717,113
1,vy,33,0.23097740959533947,0.9143934732599592,113
1,angle,33,0.29134215736986135,0.9568894454027321,113
1,angular_velocity,33,0.6479798944717753,1.3459713024344746,113
1,x,34,0.029905202816129236,0.13696283443397472,112
1,vx,34,0.14963736140848433,0.32622728707109633,112
1,y,34,0.05079570785334467,0.568997283568166,112
1,vy,34,0.2169751124491611,0.9433380139614727,112
1,angle,34,0.30677726670154376,0.9848927689974275,112
1,angular_velocity,34,0.8571797842641473,1.5056906392561167,112
1,x,35,0.028755061253197788,0.14059010775766898,110
1,vx,35,0.1417650866861103,0.31801169491215664,110
1,y,35,0.05133832837316164,0.5830554045818379,110
1,vy,35,0.2914086292749533,0.9741529794559028,110
1,angle,35,0.32439316938125956,1.0099380356744987,110
1,angular_velocity,35,0.7020631546573646,1.4648189940967893,110
1,x,36,0.02918814292462298,0.14458627946896305,108
1,vx,36,0.13056647801324472,0.32037030496377605,108
1,y,36,0.05270986667102451,0.5907731488480245,108
1,vy,36,0.2533746639671567,1.0045009461096206,108
1,angle,36,0.3456784499423086,1.0386235787388842,108
1,angular_velocity,36,0.6968563935955447,1.4630322422766864,108
1,x,37,0.028736050929912067,0.14820369105744577,106
1,vx,37,0.11174789022342912,0.32354659940838343,106
1,y,37,0.054252339790535446,0.6000340772617757,106
1,vy,37,0.11726750088879331,1.035837488843549,106
1,angle,37,0.3683885192074691,1.076117892778798,106
1,angular_velocity,37,0.6933806612025519,1.4709199653096308,106
1,x,38,0.02968444746376853,0.15123627774887033,106
1,vx,38,0.11427748652108792,0.3299873721642043,106
