Wall time,Step,Value
1779318065.2461522,2439040,13.50943374633789
1779318068.2432737,2445728,13.370967864990234
1779318069.5051954,2448832,11.49372386932373
1779318071.5125284,2453248,10.140562057495117
1779318073.4476008,2457536,17.03125
1779318145.64286,2478688,13.072114944458008
1779318146.4777064,2480544,10.825471878051758
1779318217.4624217,2496448,14.47706413269043
1779318219.129886,2500288,18.125
1779318220.5591683,2503584,15.91919231414795
1779318222.7746005,2509312,16.459854125976562
1779318222.8805406,2509600,14.338095664978027
1779318295.3674054,2535072,15.751879692077637
1779318369.3174517,2558432,16.28440284729004
1779318375.792157,2573056,11.401960372924805
1779318451.5522954,2600288,12.958333015441895
1779318451.5983717,2600384,17.1610164642334
1779318531.9584665,2635808,18.032787322998047
1779318765.4063315,2735712,14.097222328186035
1779318769.0591707,2743744,17.688678741455078
1779318993.1622536,2819744,12.286384582519531
1779319003.215079,2844224,14.745454788208008
1779319232.0544882,2927712,12.596939086914062
1779319237.7475064,2940800,12.129186630249023
1779319310.7277427,2961952,13.119909286499023
1779319319.3029597,2981408,15.935672760009766
1779319319.4403777,2981728,15.78125
1779319383.3107197,2983008,12.354496955871582
1779319383.3553784,2983104,14.62195110321045
1779319383.9016767,2984288,14.307692527770996
1779319384.2353716,2985024,13.719511985778809
1779319386.961607,2991328,13.662161827087402
1779319387.306311,2992224,15.105932235717773
1779319389.06429,2996128,10.413265228271484
1779319390.156641,2998560,11.274900436401367
1779319460.1658497,3014720,17.173913955688477
1779319460.6231804,3015744,9.636677742004395
1779319464.2566452,3024320,13.465608596801758
1779319546.0161235,3065824,11.914397239685059
1779319547.9928,3070176,13.041666984558105
1779319548.765336,3071904,12.532544136047363
1779319620.188336,3090176,14.08450698852539
1779319620.2167282,3090240,15.832402229309082
1779319772.3397102,3153952,14.665552139282227
1779319772.3711953,3154016,16.200000762939453
1779319773.0419986,3155616,14.319047927856445
1779319774.0997555,3158336,14.768844604492188
1779319778.377141,3168096,17.70270347595215
1779320002.1416547,3244320,13.032608985900879
1779320002.2105596,3244480,18.109243392944336
1779320002.4296308,3244960,17.64285659790039
1779320011.232141,3264832,17.59883689880371
1779320087.4838881,3291968,16.982759475708008
1779320088.3642533,3293888,13.428571701049805
1779320165.963385,3325376,16.189023971557617
1779320166.832986,3327360,17.539682388305664
1779320167.2843761,3328416,16.340206146240234
1779320168.6716664,3331456,15.963855743408203
1779320171.8811693,3338976,12.866379737854004
1779320172.7975266,3340960,15.207100868225098
1779320247.7764487,3368192,14.233051300048828
1779320247.8661885,3368384,15.666666984558105
1779320248.3499086,3369440,15.035897254943848
1779320249.1837864,3371264,19.285715103149414
1779320249.9175858,3372896,17.372880935668945
1779320478.9890058,3462720,15.159793853759766
1779320551.1241307,3483744,15.99099063873291
